Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LogInTestSuite,Chrome 127.0.0.0,,,10-08-2024 19:45:08,10-08-2024 19:45:56,47.517s,PASSED
,,,,,,,
Test Cases/Test Case,Chrome 127.0.0.0,,,10-08-2024 19:45:09,10-08-2024 19:45:26,17.793s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,10-08-2024 19:45:09,10-08-2024 19:45:11,2.106s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/login"")",Chrome 127.0.0.0,,,10-08-2024 19:45:11,10-08-2024 19:45:15,4.172s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Email_Email""), Email)",Chrome 127.0.0.0,,,10-08-2024 19:45:15,10-08-2024 19:45:16,0.746s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Password_Password""), Password)",Chrome 127.0.0.0,,,10-08-2024 19:45:16,10-08-2024 19:45:17,0.687s,PASSED
"click(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,10-08-2024 19:45:17,10-08-2024 19:45:26,9.350s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,10-08-2024 19:45:26,10-08-2024 19:45:26,0.486s,PASSED
,,,,,,,
Test Cases/Test Case,Chrome 127.0.0.0,,,10-08-2024 19:45:26,10-08-2024 19:45:43,16.401s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,10-08-2024 19:45:26,10-08-2024 19:45:27,0.896s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/login"")",Chrome 127.0.0.0,,,10-08-2024 19:45:27,10-08-2024 19:45:31,3.919s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Email_Email""), Email)",Chrome 127.0.0.0,,,10-08-2024 19:45:31,10-08-2024 19:45:32,0.643s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Password_Password""), Password)",Chrome 127.0.0.0,,,10-08-2024 19:45:32,10-08-2024 19:45:33,0.663s,PASSED
"click(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,10-08-2024 19:45:33,10-08-2024 19:45:42,9.846s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,10-08-2024 19:45:42,10-08-2024 19:45:43,0.417s,PASSED
,,,,,,,
Test Cases/Test Case,Chrome 127.0.0.0,,,10-08-2024 19:45:43,10-08-2024 19:45:56,13.063s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,10-08-2024 19:45:43,10-08-2024 19:45:44,0.948s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/login"")",Chrome 127.0.0.0,,,10-08-2024 19:45:44,10-08-2024 19:45:47,3.567s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Email_Email""), Email)",Chrome 127.0.0.0,,,10-08-2024 19:45:47,10-08-2024 19:45:48,0.615s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Password_Password""), Password)",Chrome 127.0.0.0,,,10-08-2024 19:45:48,10-08-2024 19:45:49,0.609s,PASSED
"click(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,10-08-2024 19:45:49,10-08-2024 19:45:56,6.873s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,10-08-2024 19:45:56,10-08-2024 19:45:56,0.437s,PASSED
