Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LogInTestSuite,Chrome 127.0.0.0,,,12-08-2024 19:09:50,12-08-2024 19:10:20,30.561s,PASSED
,,,,,,,
Test Cases/Test Case,Chrome 127.0.0.0,,,12-08-2024 19:09:50,12-08-2024 19:10:03,13.064s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,12-08-2024 19:09:50,12-08-2024 19:09:53,2.757s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/login"")",Chrome 127.0.0.0,,,12-08-2024 19:09:53,12-08-2024 19:09:58,4.853s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Email_Email""), Email)",Chrome 127.0.0.0,,,12-08-2024 19:09:58,12-08-2024 19:09:59,0.776s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Password_Password""), Password)",Chrome 127.0.0.0,,,12-08-2024 19:09:59,12-08-2024 19:09:59,0.618s,PASSED
"click(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,12-08-2024 19:09:59,12-08-2024 19:10:02,3.149s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,12-08-2024 19:10:02,12-08-2024 19:10:03,0.669s,PASSED
,,,,,,,
Test Cases/Test Case,Chrome 127.0.0.0,,,12-08-2024 19:10:03,12-08-2024 19:10:11,8.373s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,12-08-2024 19:10:03,12-08-2024 19:10:04,0.857s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/login"")",Chrome 127.0.0.0,,,12-08-2024 19:10:04,12-08-2024 19:10:07,3.133s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Email_Email""), Email)",Chrome 127.0.0.0,,,12-08-2024 19:10:07,12-08-2024 19:10:08,0.604s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Password_Password""), Password)",Chrome 127.0.0.0,,,12-08-2024 19:10:08,12-08-2024 19:10:08,0.584s,PASSED
"click(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,12-08-2024 19:10:08,12-08-2024 19:10:11,2.674s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,12-08-2024 19:10:11,12-08-2024 19:10:11,0.481s,PASSED
,,,,,,,
Test Cases/Test Case,Chrome 127.0.0.0,,,12-08-2024 19:10:11,12-08-2024 19:10:20,8.861s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,12-08-2024 19:10:11,12-08-2024 19:10:12,0.854s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/login"")",Chrome 127.0.0.0,,,12-08-2024 19:10:12,12-08-2024 19:10:16,3.287s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Email_Email""), Email)",Chrome 127.0.0.0,,,12-08-2024 19:10:16,12-08-2024 19:10:16,0.611s,PASSED
"setText(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Password_Password""), Password)",Chrome 127.0.0.0,,,12-08-2024 19:10:16,12-08-2024 19:10:17,1.147s,PASSED
"click(findTestObject(""Object Repository/Test_Log In/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,12-08-2024 19:10:17,12-08-2024 19:10:20,2.506s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,12-08-2024 19:10:20,12-08-2024 19:10:20,0.428s,PASSED
